algo,dataset,architecture,latent_dim,kl_weight,hidden_dims,conv_filters,hidden_activation,latent_activation,output_activation,optimizer,learning_rate,batch_size,epochs,seed,status,k,code_floats,ratio_vs_uint8,train_mse,test_mse,inertia,train_seconds,kl_final,total_loss_final,latent_std_mean,saved_as,n_components,center,explained_variance_kept
vae,quickdraw,dense,10,0.001,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.0850030854344368,0.08722367777359057,166606.04745149612,5.35,2.805086612701416,0.08504514396190643,0.4947986021637917,vae_quickdraw_z10_dense_kl0.001_e12_n2500,,,
vae,quickdraw,conv,10,0.001,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.08190128952264786,0.08383096904020042,160526.5274643898,6.33,4.777894973754883,0.08934382349252701,0.4756574288010597,vae_quickdraw_z10_conv_kl0.001_e12_n2500,,,
vae,quickdraw,dense,2,0.001,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,2,2,98.0,0.07965138554573059,0.08160910767973045,156116.71566963196,4.64,3.702364683151245,0.08542688190937042,1.1792475879192352,vae_quickdraw_z2_dense_kl0.001_e12_n2500,,,
vae,quickdraw,dense,5,0.001,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,5,5,39.2,0.08024638146162033,0.08234197889305185,157282.90766477585,4.24,3.1873369216918945,0.0843944177031517,0.6641781210899353,vae_quickdraw_z5_dense_kl0.001_e12_n2500,,,
vae,quickdraw,dense,20,0.001,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,20,20,9.8,0.08794467151165009,0.09054094639996063,172371.55616283417,4.38,2.7230381965637207,0.08485964685678482,0.41159445494413377,vae_quickdraw_z20_dense_kl0.001_e12_n2500,,,
vae,quickdraw,dense,50,0.001,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,50,50,3.92,0.1240222305059433,0.12631388828848952,243083.57179164886,4.37,1.1895029544830322,0.08859530836343765,0.1676141955703497,vae_quickdraw_z50_dense_kl0.001_e12_n2500,,,
vae,quickdraw,dense,10,0.0,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.0747331902384758,0.07707997194744058,146477.05286741257,4.61,106.79947662353516,0.07583324611186981,2.3117270350456236,vae_quickdraw_z10_dense_kl0_e12_n2500,,,
vae,quickdraw,dense,10,0.0001,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.07772462069988251,0.07977454799999494,152340.2565717697,4.29,13.302938461303711,0.07970190048217773,0.9410789698362351,vae_quickdraw_z10_dense_kl0.0001_e12_n2500,,,
vae,quickdraw,dense,10,0.01,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.1352296769618988,0.1353691017782606,265050.16684532166,4.54,0.0026769344694912434,0.09072883427143097,0.0018501898157410324,vae_quickdraw_z10_dense_kl0.01_e12_n2500,,,
vae,quickdraw,dense,10,1.0,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.13162648677825928,0.13181257137654492,257987.91408538818,4.33,5.596002301899716e-05,0.09084431827068329,0.0007598552212584764,vae_quickdraw_z10_dense_kl1_e12_n2500,,,
vae,quickdraw,dense,10,0.001,64,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.07957372814416885,0.08174047020345934,155964.50716257095,3.42,6.220455169677734,0.08873140811920166,0.5994448959827423,vae_quickdraw_z10_dense_kl0.001_e12_n2500_2,,,
vae,quickdraw,dense,10,0.001,256-64,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.08055397868156433,0.08276689213665224,157885.7982158661,8.33,2.738679885864258,0.08193820714950562,0.5959969848394394,vae_quickdraw_z10_dense_kl0.001_e12_n2500_3,,,
vae,quickdraw,dense,10,0.001,512-128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.08062008023262024,0.08240065871546276,158015.35725593567,6.45,2.468123435974121,0.08191033452749252,0.5357909500598907,vae_quickdraw_z10_dense_kl0.001_e12_n2500_4,,,
vae,quickdraw,dense,10,0.001,128-32,32-64,elu,linear,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.07742276787757874,0.07918122831055037,151748.62504005432,4.37,5.253664016723633,0.0850590392947197,0.47837761640548704,vae_quickdraw_z10_dense_kl0.001_e12_n2500_5,,,
vae,quickdraw,dense,10,0.001,128-32,32-64,tanh,linear,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.08585115522146225,0.08743816178142919,168268.264234066,4.57,3.336090087890625,0.09085410088300705,0.3314367286860943,vae_quickdraw_z10_dense_kl0.001_e12_n2500_6,,,
vae,quickdraw,dense,10,0.001,128-32,32-64,leaky_relu,linear,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.07721202075481415,0.07920898297905832,151335.56067943573,4.77,4.137036323547363,0.08409047871828079,0.6532997965812684,vae_quickdraw_z10_dense_kl0.001_e12_n2500_7,,,
vae,quickdraw,dense,10,0.001,128-32,32-64,relu,tanh,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.08220027387142181,0.0842839994134918,161112.53678798676,4.48,2.4060139656066895,0.0835534930229187,0.5636602699756622,vae_quickdraw_z10_dense_kl0.001_e12_n2500_8,,,
vae,quickdraw,dense,10,0.001,128-32,32-64,relu,sigmoid,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.10740932822227478,0.10857657007557008,210522.28331565857,4.34,0.6980937719345093,0.08994393050670624,0.07504650205373764,vae_quickdraw_z10_dense_kl0.001_e12_n2500_9,,,
vae,quickdraw,dense,10,0.001,128-32,32-64,relu,linear,linear,adam,0.001,256,12,42,ok,10,10,19.6,0.0760912373661995,0.07793747833689962,149138.825237751,4.76,3.5843844413757324,0.08181770145893097,0.6021748840808868,vae_quickdraw_z10_dense_kl0.001_e12_n2500_10,,,
vae,quickdraw,dense,10,0.001,128-32,32-64,relu,linear,sigmoid,sgd,0.001,256,12,42,ok,10,10,19.6,0.2158942073583603,0.215229024697337,423152.64642238617,2.82,1.1210914850234985,0.2177111804485321,0.22871040254831315,vae_quickdraw_z10_dense_kl0.001_e12_n2500_11,,,
vae,quickdraw,dense,10,0.001,128-32,32-64,relu,linear,sigmoid,rmsprop,0.001,256,12,42,ok,10,10,19.6,0.08988095819950104,0.09148718338612388,176166.67807102203,3.64,4.70246696472168,0.09694896638393402,0.23528142422437667,vae_quickdraw_z10_dense_kl0.001_e12_n2500_12,,,
vae,quickdraw,dense,10,0.001,128-32,32-64,relu,linear,sigmoid,adam,0.01,256,12,42,ok,10,10,19.6,0.07652658969163895,0.0784370778457636,149992.11579561234,4.51,2.2542762756347656,0.07959996908903122,0.3474374532699585,vae_quickdraw_z10_dense_kl0.001_e12_n2500_13,,,
vae,quickdraw,dense,10,0.001,128-32,32-64,relu,linear,sigmoid,adam,0.0001,256,12,42,ok,10,10,19.6,0.12719127535820007,0.12750435652396286,249294.89970207214,4.44,14.053792953491211,0.14160913228988647,0.3036208897829056,vae_quickdraw_z10_dense_kl0.001_e12_n2500_14,,,
vae,quickdraw,dense,10,0.001,128-32,32-64,relu,linear,sigmoid,adam,0.001,64,12,42,ok,10,10,19.6,0.07051808387041092,0.07303775091132039,138215.4443860054,6.5,4.411045074462891,0.07710307836532593,0.7006973624229431,vae_quickdraw_z10_dense_kl0.001_e12_n2500_15,,,
vae,quickdraw,dense,10,0.001,128-32,32-64,relu,linear,sigmoid,adam,0.001,128,12,42,ok,10,10,19.6,0.07543817162513733,0.07805674648423903,147858.81638526917,5.2,3.4731316566467285,0.08002231270074844,0.660232537984848,vae_quickdraw_z10_dense_kl0.001_e12_n2500_16,,,
vae,quickdraw,dense,10,0.001,128-32,32-64,relu,linear,sigmoid,adam,0.001,512,12,42,ok,10,10,19.6,0.0941217765212059,0.09582808150277768,184478.68198156357,4.24,1.4691493511199951,0.09336109459400177,0.2057179607450962,vae_quickdraw_z10_dense_kl0.001_e12_n2500_17,,,
pca,quickdraw,,,,,,,,,,,,,,ok,50,50,3.92,0.030134111594379558,0.033315487003542525,59062.85872498393,0.67,,,,pca_quickdraw_pca50_feature_n2500,50,feature,0.6431579345096236
pca,quickdraw,,,,,,,,,,,,,,ok,2,2,98.0,0.07508799716259999,0.07704254898036665,147172.474438696,0.61,,,,pca_quickdraw_pca2_feature_n2500,2,feature,0.15578219517371558
pca,quickdraw,,,,,,,,,,,,,,ok,5,5,39.2,0.06631321433010788,0.06818886906222421,129973.90008701145,0.59,,,,pca_quickdraw_pca5_feature_n2500,5,feature,0.25083360990130776
pca,quickdraw,,,,,,,,,,,,,,ok,10,10,19.6,0.058369694941565145,0.06050793204754766,114404.60208546769,0.57,,,,pca_quickdraw_pca10_feature_n2500,10,feature,0.3372400666648103
pca,quickdraw,,,,,,,,,,,,,,ok,20,20,9.8,0.04758497643275092,0.050051013216975485,93266.5538081918,0.56,,,,pca_quickdraw_pca20_feature_n2500,20,feature,0.4533515774305396
pca,quickdraw,,,,,,,,,,,,,,ok,100,100,1.96,0.016384856351055306,0.019576451604750196,32114.3184480684,0.65,,,,pca_quickdraw_pca100_feature_n2500,100,feature,0.7959712054633352
pca,quickdraw,,,,,,,,,,,,,,ok,200,200,0.98,0.0055539261293901755,0.007625864666297841,10885.695213604744,0.58,,,,pca_quickdraw_pca200_feature_n2500,200,feature,0.9244216597988261
pca,quickdraw,,,,,,,,,,,,,,ok,50,50,3.92,0.030463805264059063,0.033652427506638376,59709.05831755576,0.56,,,,pca_quickdraw_pca50_global_n2500,50,global,0.7035668703884144
vae,mnist,dense,10,0.001,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.07551729679107666,0.07529632808811569,148013.90171051025,5.08,1.3795043230056763,0.06665697693824768,0.4125788599252701,vae_mnist_z10_dense_kl0.001_e12_n2500,,,
vae,mnist,dense,2,0.001,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,2,2,98.0,0.0616409033536911,0.06204309882366291,120816.17057323456,4.49,3.155430793762207,0.06639787554740906,0.8859510868787766,vae_mnist_z2_dense_kl0.001_e12_n2500,,,
vae,mnist,dense,20,0.001,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,20,20,9.8,0.0789669081568718,0.07916111630276346,154775.13998746872,4.48,1.4022859334945679,0.06674368679523468,0.28512866869568826,vae_mnist_z20_dense_kl0.001_e12_n2500,,,
vae,mnist,dense,10,0.0,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.061115071177482605,0.06103037103356147,119785.5395078659,4.52,110.06520080566406,0.06272277235984802,1.897014433145523,vae_mnist_z10_dense_kl0_e12_n2500,,,
vae,mnist,dense,10,1.0,128-32,32-64,relu,linear,sigmoid,adam,0.001,256,12,42,ok,10,10,19.6,0.1146012619137764,0.11476373480119856,224618.47335100174,4.51,5.237071491137613e-06,0.06860595941543579,0.0004885596194071695,vae_mnist_z10_dense_kl1_e12_n2500,,,
pca,mnist,,,,,,,,,,,,,,ok,50,50,3.92,0.010120608384141147,0.010266519277340602,19836.392432916648,0.59,,,,pca_mnist_pca50_feature_n2500,50,feature,0.8284831748059394
pca,mnist,,,,,,,,,,,,,,ok,10,10,19.6,0.03333488591058207,0.032827903785647566,65336.376384740855,0.6,,,,pca_mnist_pca10_feature_n2500,10,feature,0.4892500302993679
